Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,EnergyDemand,SeasonEnergyDemand
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,BR,0.19392595108272595,11.829483016046282
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,JH,0.0135240757031343,0.8249686178911924
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,OD,0.0313600565628814,1.9129634503357653
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,WB,0.0213507522644444,1.3023958881311084
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,CG,0.019199510820885796,1.1711701600740336
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GJ,0.1051966388985838,6.416994972813612
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MP,0.045391821988362294,2.7689011412901
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MH,0.2031153236754928,12.39003474420506
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GA,0.006142707980350888,0.3747051868014042
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,UT,0.0140506558909614,0.8570900093486454
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,DL,0.09474303433675597,5.779325094542115
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HR,0.0265700752941586,1.6207745929436745
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HP,0.0059341821503359005,0.3619851111704899
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,JK,0.0005122969644879079,0.03125011483376238
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,PB,0.022371423461558602,1.3646568311550746
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,RJ,0.0199153460814349,1.214836110967529
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UP,0.1227094371388326,7.485275665468789
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UK,0.0066552368579536,0.40596944833516957
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,AP,0.0674208369471137,4.112671053773936
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KA,0.11674919279583221,7.121700760545765
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KL,0.057619402331047904,3.514783542193922
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TN,0.1461978102067919,8.918066422614306
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TS,0.0563760608801171,3.438939713687143
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,AS,0.01750737657305737,1.0679499709564997
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,NE,0.0163847542561741,0.9994700096266201
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,BR,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,JH,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,OD,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,WB,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,CG,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GJ,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MP,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MH,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GA,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,UT,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,DL,0.0,0.0
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HR,0.0,0.0
