Year,ModelGeography,SubGeography1,SubGeography2,EnergyDemand
2021,INDIA,ER,BR,71.02421067807808
2021,INDIA,ER,JH,15.380928816870911
2021,INDIA,ER,OD,19.181500414780647
2021,INDIA,ER,WB,55.1351339686997
2021,INDIA,WR,CG,15.440612577218634
2021,INDIA,WR,GJ,49.88888236109754
2021,INDIA,WR,MP,53.10153134250091
2021,INDIA,WR,MH,124.22032358840886
2021,INDIA,WR,GA,2.141847852291947
2021,INDIA,WR,UT,3.715168851073367
2021,INDIA,NR,DL,21.200042169923332
2021,INDIA,NR,HR,25.40171782087066
2021,INDIA,NR,HP,4.824024742271807
2021,INDIA,NR,JK,13.171126604102689
2021,INDIA,NR,PB,32.505776685260216
2021,INDIA,NR,RJ,49.77703454439491
2021,INDIA,NR,UP,143.17376830242776
2021,INDIA,NR,UK,10.28061289965357
2021,INDIA,SR,AP,57.94649616164356
2021,INDIA,SR,KA,70.590671799317
2021,INDIA,SR,KL,27.176877991237678
2021,INDIA,SR,TN,92.70829854187753
2021,INDIA,SR,TS,43.126295861234354
2021,INDIA,NER,AS,24.8426952056603
2021,INDIA,NER,NE,11.054256042349506
2022,INDIA,ER,BR,72.6060137575223
2022,INDIA,ER,JH,16.043843960100347
2022,INDIA,ER,OD,19.960986959745195
2022,INDIA,ER,WB,57.14226852943904
2022,INDIA,WR,CG,15.692142397218904
2022,INDIA,WR,GJ,51.35872218255081
2022,INDIA,WR,MP,55.26740022214406
2022,INDIA,WR,MH,127.09902392198134
2022,INDIA,WR,GA,2.142057083439708
2022,INDIA,WR,UT,3.727186785061244
2022,INDIA,NR,DL,21.03030287365426
2022,INDIA,NR,HR,26.496160698517645
2022,INDIA,NR,HP,5.056249465419734
2022,INDIA,NR,JK,13.554491791798915
2022,INDIA,NR,PB,33.18386303505184
2022,INDIA,NR,RJ,52.32515352912799
2022,INDIA,NR,UP,148.38330716553236
2022,INDIA,NR,UK,10.493711518797527
2022,INDIA,SR,AP,60.217160989806004
2022,INDIA,SR,KA,73.43564592796007
2022,INDIA,SR,KL,27.946169927080703
2022,INDIA,SR,TN,93.7266323564254
2022,INDIA,SR,TS,44.04638420967056
2022,INDIA,NER,AS,26.56060275640918
2022,INDIA,NER,NE,11.430767676659949
2023,INDIA,ER,BR,73.66504288206932
2023,INDIA,ER,JH,16.521325761019874
2023,INDIA,ER,OD,20.525929779101006
2023,INDIA,ER,WB,58.4593064667346
2023,INDIA,WR,CG,15.85202960544254
2023,INDIA,WR,GJ,52.38687869383422
2023,INDIA,WR,MP,56.8657264205722
2023,INDIA,WR,MH,128.82614445381603
2023,INDIA,WR,GA,2.1332991485389976
2023,INDIA,WR,UT,3.718786610183857
2023,INDIA,NR,DL,20.815714639252306
2023,INDIA,NR,HR,27.252364843508527
2023,INDIA,NR,HP,5.215828242078698
2023,INDIA,NR,JK,13.777428926409415
2023,INDIA,NR,PB,33.47588522252527
2023,INDIA,NR,RJ,54.15282552129701
2023,INDIA,NR,UP,152.07097682268846
2023,INDIA,NR,UK,10.638291394493915
2023,INDIA,SR,AP,61.53211129092149
2023,INDIA,SR,KA,75.31931142885209
2023,INDIA,SR,KL,28.36783366687037
2023,INDIA,SR,TN,94.06945199506455
2023,INDIA,SR,TS,44.5844413996513
2023,INDIA,NER,AS,27.800287305167732
2023,INDIA,NER,NE,11.693724189790025
2024,INDIA,ER,BR,74.67289186329472
2024,INDIA,ER,JH,17.000904556876634
2024,INDIA,ER,OD,21.091828951853408
2024,INDIA,ER,WB,59.7435435590643
2024,INDIA,WR,CG,16.006136330496
2024,INDIA,WR,GJ,53.36842877856287
2024,INDIA,WR,MP,58.421338416345634
2024,INDIA,WR,MH,130.37846678332014
2024,INDIA,WR,GA,2.121562473225644
2024,INDIA,WR,UT,3.7014886978089248
2024,INDIA,NR,DL,20.561160024685186
2024,INDIA,NR,HR,27.955793515522327
2024,INDIA,NR,HP,5.369259377065885
2024,INDIA,NR,JK,13.96825037594622
2024,INDIA,NR,PB,33.7093585732235
2024,INDIA,NR,RJ,55.96332817859195
2024,INDIA,NR,UP,155.63907130658222
2024,INDIA,NR,UK,10.772829784026207
2024,INDIA,SR,AP,62.60946579375979
2024,INDIA,SR,KA,76.99317064719484
2024,INDIA,SR,KL,28.719393031827998
2024,INDIA,SR,TN,94.27305749427066
2024,INDIA,SR,TS,45.04213413799788
2024,INDIA,NER,AS,29.011994530090437
2024,INDIA,NER,NE,11.947456142554092
2025,INDIA,ER,BR,75.64728773322923
2025,INDIA,ER,JH,17.480955105641563
2025,INDIA,ER,OD,21.655458051708898
2025,INDIA,ER,WB,60.98826668920917
2025,INDIA,WR,CG,16.15503834077516
2025,INDIA,WR,GJ,54.275625207521635
2025,INDIA,WR,MP,59.91976744606926
2025,INDIA,WR,MH,131.73454443702565
2025,INDIA,WR,GA,2.106508149980587
2025,INDIA,WR,UT,3.6745661581407436
2025,INDIA,NR,DL,20.26129009652952
2025,INDIA,NR,HR,28.599658481847428
2025,INDIA,NR,HP,5.515325580307051
2025,INDIA,NR,JK,14.130513705263311
2025,INDIA,NR,PB,33.87993693037034
2025,INDIA,NR,RJ,57.7390728374452
2025,INDIA,NR,UP,159.03319156140688
2025,INDIA,NR,UK,10.897075169760468
2025,INDIA,SR,AP,63.43200712146099
2025,INDIA,SR,KA,78.34041580953946
2025,INDIA,SR,KL,28.995513532806516
2025,INDIA,SR,TN,94.32465049576847
2025,INDIA,SR,TS,45.409000134497134
2025,INDIA,NER,AS,30.18108369106211
2025,INDIA,NER,NE,12.190838265512658
2026,INDIA,ER,BR,76.62335412000073
2026,INDIA,ER,JH,17.965461361518965
2026,INDIA,ER,OD,22.21304185256849
2026,INDIA,ER,WB,62.20526911502009
2026,INDIA,WR,CG,16.290391180206925
2026,INDIA,WR,GJ,55.128437283313815
2026,INDIA,WR,MP,61.356180941813314
2026,INDIA,WR,MH,132.93893213197725
2026,INDIA,WR,GA,2.0871886031091322
2026,INDIA,WR,UT,3.6373336406730243
2026,INDIA,NR,DL,19.90960834451946
2026,INDIA,NR,HR,29.18423810806409
2026,INDIA,NR,HP,5.654626045809938
2026,INDIA,NR,JK,14.282588048183648
2026,INDIA,NR,PB,33.98958999951527
2026,INDIA,NR,RJ,59.48372396610916
2026,INDIA,NR,UP,162.228616398539
2026,INDIA,NR,UK,11.017328570770678
2026,INDIA,SR,AP,64.00294290167342
2026,INDIA,SR,KA,79.22782017123137
2026,INDIA,SR,KL,29.195418346732957
2026,INDIA,SR,TN,93.97180428569733
2026,INDIA,SR,TS,45.66960225951358
2026,INDIA,NER,AS,31.306400197018597
2026,INDIA,NER,NE,12.425687502829767
2027,INDIA,ER,BR,77.581301926477
2027,INDIA,ER,JH,18.452030068108083
2027,INDIA,ER,OD,22.777511161018957
2027,INDIA,ER,WB,63.31362414540017
2027,INDIA,WR,CG,16.418691442585256
2027,INDIA,WR,GJ,55.90858183061188
2027,INDIA,WR,MP,62.71899955566659
2027,INDIA,WR,MH,133.96134796351197
2027,INDIA,WR,GA,2.0619740641823094
2027,INDIA,WR,UT,3.576255394600697
2027,INDIA,NR,DL,19.497836183154078
2027,INDIA,NR,HR,29.702196488657414
2027,INDIA,NR,HP,5.785629394065821
2027,INDIA,NR,JK,14.421973814177218
2027,INDIA,NR,PB,34.037153233180256
2027,INDIA,NR,RJ,61.16317580765386
2027,INDIA,NR,UP,165.15136717977367
2027,INDIA,NR,UK,11.132899246124463
2027,INDIA,SR,AP,63.79962710652985
2027,INDIA,SR,KA,79.78871937107577
2027,INDIA,SR,KL,29.31116584048423
2027,INDIA,SR,TN,93.22337193329736
2027,INDIA,SR,TS,45.80928063412884
2027,INDIA,NER,AS,32.375659350643026
2027,INDIA,NER,NE,12.650925647205291
2028,INDIA,ER,BR,78.5286563041153
2028,INDIA,ER,JH,18.947990732941484
2028,INDIA,ER,OD,23.35164578337297
2028,INDIA,ER,WB,64.44303963960091
2028,INDIA,WR,CG,16.5485730202032
2028,INDIA,WR,GJ,56.618595718392015
2028,INDIA,WR,MP,63.98767676360815
2028,INDIA,WR,MH,134.79514062793794
2028,INDIA,WR,GA,2.0283351062949655
2028,INDIA,WR,UT,3.5029520145816493
2028,INDIA,NR,DL,19.016444686668763
2028,INDIA,NR,HR,30.15652692606127
2028,INDIA,NR,HP,5.909697088423216
2028,INDIA,NR,JK,14.551347762871211
2028,INDIA,NR,PB,33.963530131059585
2028,INDIA,NR,RJ,62.77282246840925
2028,INDIA,NR,UP,167.75820899775857
2028,INDIA,NR,UK,11.24532546048004
2028,INDIA,SR,AP,62.989103821615934
2028,INDIA,SR,KA,80.02876823622644
2028,INDIA,SR,KL,29.32994968479249
2028,INDIA,SR,TN,92.19568279734578
2028,INDIA,SR,TS,45.807780316867344
2028,INDIA,NER,AS,33.38941057333197
2028,INDIA,NER,NE,12.868810574508334
2029,INDIA,ER,BR,79.4907380103489
2029,INDIA,ER,JH,19.451753061163306
2029,INDIA,ER,OD,23.93575942134341
2029,INDIA,ER,WB,65.55270463246296
2029,INDIA,WR,CG,16.676792904446845
2029,INDIA,WR,GJ,57.25068098207396
2029,INDIA,WR,MP,64.96609181672886
2029,INDIA,WR,MH,135.40237367170593
2029,INDIA,WR,GA,1.981956320435795
2029,INDIA,WR,UT,3.416433892913576
2029,INDIA,NR,DL,18.4530447597583
2029,INDIA,NR,HR,30.541132751055056
2029,INDIA,NR,HP,6.025626188360019
2029,INDIA,NR,JK,14.66809002475848
2029,INDIA,NR,PB,33.64227012883228
2029,INDIA,NR,RJ,64.1198770113657
2029,INDIA,NR,UP,169.94385810439218
2029,INDIA,NR,UK,11.352843125326775
2029,INDIA,SR,AP,61.875949709498954
2029,INDIA,SR,KA,79.5271637702683
2029,INDIA,SR,KL,29.221405685310554
2029,INDIA,SR,TN,91.019375210764
2029,INDIA,SR,TS,45.59394928211459
2029,INDIA,NER,AS,34.33332232598096
2029,INDIA,NER,NE,13.078365500806118
2030,INDIA,ER,BR,80.46835483718638
2030,INDIA,ER,JH,19.962818740967496
2030,INDIA,ER,OD,24.511876599766723
2030,INDIA,ER,WB,66.63710039202287
2030,INDIA,WR,CG,16.78073513971983
2030,INDIA,WR,GJ,57.79832215955229
2030,INDIA,WR,MP,65.79141445706068
2030,INDIA,WR,MH,135.77587463557256
2030,INDIA,WR,GA,1.9156442733953702
2030,INDIA,WR,UT,3.3142228304067842
2030,INDIA,NR,DL,17.793090303964668
2030,INDIA,NR,HR,30.850752638471228
2030,INDIA,NR,HP,6.132082175277613
2030,INDIA,NR,JK,14.768528029021695
2030,INDIA,NR,PB,33.254496104746615
2030,INDIA,NR,RJ,65.23746631954887
2030,INDIA,NR,UP,171.51992804648526
2030,INDIA,NR,UK,11.449734594253371
2030,INDIA,SR,AP,60.645951755674076
2030,INDIA,SR,KA,78.65761616245722
2030,INDIA,SR,KL,28.92825675268905
2030,INDIA,SR,TN,89.74745954620144
2030,INDIA,SR,TS,44.83251270938674
2030,INDIA,NER,AS,35.19139418040365
2030,INDIA,NER,NE,13.27859692523226
2031,INDIA,ER,BR,81.46033846725652
2031,INDIA,ER,JH,20.480294228104224
2031,INDIA,ER,OD,25.10285304599546
2031,INDIA,ER,WB,67.19125532662675
2031,INDIA,WR,CG,16.885989984869017
2031,INDIA,WR,GJ,58.2527122704175
2031,INDIA,WR,MP,66.45267566264725
2031,INDIA,WR,MH,135.90943348094314
2031,INDIA,WR,GA,1.8162571082930765
2031,INDIA,WR,UT,3.1911128849742525
2031,INDIA,NR,DL,17.018766665474104
2031,INDIA,NR,HR,31.079807696502332
2031,INDIA,NR,HP,6.2275743232433705
2031,INDIA,NR,JK,14.847344585012493
2031,INDIA,NR,PB,32.81890159906355
2031,INDIA,NR,RJ,66.13643698935411
2031,INDIA,NR,UP,172.2952871423544
2031,INDIA,NR,UK,11.513771777386044
2031,INDIA,SR,AP,59.27725957471317
2031,INDIA,SR,KA,77.10964461218563
2031,INDIA,SR,KL,28.34090928186828
2031,INDIA,SR,TN,88.28768223357626
2031,INDIA,SR,TS,43.85585864230352
2031,INDIA,NER,AS,35.94561453898458
2031,INDIA,NER,NE,13.468513429731384
