DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,2647421.07955434,AVERAGE
D_RES,2022,INDIA,ER,BR,RURAL,Q1,2672972.12607012,AVERAGE
D_RES,2023,INDIA,ER,BR,RURAL,Q1,2701193.64573632,AVERAGE
D_RES,2024,INDIA,ER,BR,RURAL,Q1,2729184.305074,AVERAGE
D_RES,2025,INDIA,ER,BR,RURAL,Q1,2756925.7663040003,AVERAGE
D_RES,2026,INDIA,ER,BR,RURAL,Q1,2784270.63008276,AVERAGE
D_RES,2027,INDIA,ER,BR,RURAL,Q1,2811281.1512669995,AVERAGE
D_RES,2028,INDIA,ER,BR,RURAL,Q1,2837671.45775737,AVERAGE
D_RES,2029,INDIA,ER,BR,RURAL,Q1,2863363.8106417605,AVERAGE
D_RES,2030,INDIA,ER,BR,RURAL,Q1,2888322.5412468,AVERAGE
D_RES,2031,INDIA,ER,BR,RURAL,Q1,2912419.3206635797,AVERAGE
D_RES,2021,INDIA,ER,JH,RURAL,Q1,1051828.1446638,AVERAGE
D_RES,2022,INDIA,ER,JH,RURAL,Q1,1065313.573576,AVERAGE
D_RES,2023,INDIA,ER,JH,RURAL,Q1,1079338.5634046101,AVERAGE
D_RES,2024,INDIA,ER,JH,RURAL,Q1,1093212.78417408,AVERAGE
D_RES,2025,INDIA,ER,JH,RURAL,Q1,1106921.5855172,AVERAGE
D_RES,2026,INDIA,ER,JH,RURAL,Q1,1120411.60760282,AVERAGE
D_RES,2027,INDIA,ER,JH,RURAL,Q1,1133678.7317669,AVERAGE
D_RES,2028,INDIA,ER,JH,RURAL,Q1,1146627.2790356,AVERAGE
D_RES,2029,INDIA,ER,JH,RURAL,Q1,1159209.96036,AVERAGE
D_RES,2030,INDIA,ER,JH,RURAL,Q1,1171404.79102087,AVERAGE
D_RES,2031,INDIA,ER,JH,RURAL,Q1,1183148.15963484,AVERAGE
D_RES,2021,INDIA,ER,OD,RURAL,Q1,1775386.0038483,AVERAGE
D_RES,2022,INDIA,ER,OD,RURAL,Q1,1804637.7592366799,AVERAGE
D_RES,2023,INDIA,ER,OD,RURAL,Q1,1835020.9223913199,AVERAGE
D_RES,2024,INDIA,ER,OD,RURAL,Q1,1864976.00560128,AVERAGE
D_RES,2025,INDIA,ER,OD,RURAL,Q1,1894410.63188055,AVERAGE
D_RES,2026,INDIA,ER,OD,RURAL,Q1,1923093.6742892002,AVERAGE
D_RES,2027,INDIA,ER,OD,RURAL,Q1,1950914.2772138303,AVERAGE
D_RES,2028,INDIA,ER,OD,RURAL,Q1,1977524.59710474,AVERAGE
