DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,29829.500645349304,3STAR
D_RES,2022,INDIA,ER,BR,RURAL,Q1,29400.75254170899,3STAR
D_RES,2023,INDIA,ER,BR,RURAL,Q1,27960.008974844844,3STAR
D_RES,2024,INDIA,ER,BR,RURAL,Q1,26141.262908604913,3STAR
D_RES,2025,INDIA,ER,BR,RURAL,Q1,23909.874291843254,3STAR
D_RES,2026,INDIA,ER,BR,RURAL,Q1,21243.707776232008,3STAR
D_RES,2027,INDIA,ER,BR,RURAL,Q1,18101.444650110934,3STAR
D_RES,2028,INDIA,ER,BR,RURAL,Q1,14456.763908607982,3STAR
D_RES,2029,INDIA,ER,BR,RURAL,Q1,10260.734449963726,3STAR
D_RES,2030,INDIA,ER,BR,RURAL,Q1,5460.689012386029,3STAR
D_RES,2031,INDIA,ER,BR,RURAL,Q1,0.0,3STAR
D_RES,2021,INDIA,ER,JH,RURAL,Q1,10915.25023415675,3STAR
D_RES,2022,INDIA,ER,JH,RURAL,Q1,11038.664705413921,3STAR
D_RES,2023,INDIA,ER,JH,RURAL,Q1,10680.805873949577,3STAR
D_RES,2024,INDIA,ER,JH,RURAL,Q1,10153.700116001617,3STAR
D_RES,2025,INDIA,ER,JH,RURAL,Q1,9436.588211866696,3STAR
D_RES,2026,INDIA,ER,JH,RURAL,Q1,8515.160258184505,3STAR
D_RES,2027,INDIA,ER,JH,RURAL,Q1,7364.7134326629875,3STAR
D_RES,2028,INDIA,ER,JH,RURAL,Q1,5968.5318394642145,3STAR
D_RES,2029,INDIA,ER,JH,RURAL,Q1,4297.326236319389,3STAR
D_RES,2030,INDIA,ER,JH,RURAL,Q1,2319.29621300475,3STAR
D_RES,2031,INDIA,ER,JH,RURAL,Q1,0.0,3STAR
D_RES,2021,INDIA,ER,OD,RURAL,Q1,24901.734119044482,3STAR
D_RES,2022,INDIA,ER,OD,RURAL,Q1,26141.929070537957,3STAR
D_RES,2023,INDIA,ER,OD,RURAL,Q1,26145.05253002304,3STAR
D_RES,2024,INDIA,ER,OD,RURAL,Q1,25680.23229943746,3STAR
D_RES,2025,INDIA,ER,OD,RURAL,Q1,24648.549537971994,3STAR
D_RES,2026,INDIA,ER,OD,RURAL,Q1,22962.177846062128,3STAR
D_RES,2027,INDIA,ER,OD,RURAL,Q1,20494.68055301105,3STAR
D_RES,2028,INDIA,ER,OD,RURAL,Q1,17134.967391765436,3STAR
D_RES,2029,INDIA,ER,OD,RURAL,Q1,12723.190794161876,3STAR
D_RES,2030,INDIA,ER,OD,RURAL,Q1,7079.007770958982,3STAR
D_RES,2031,INDIA,ER,OD,RURAL,Q1,0.0,3STAR
D_RES,2021,INDIA,ER,WB,RURAL,Q1,29934.1183739142,3STAR
D_RES,2022,INDIA,ER,WB,RURAL,Q1,29941.081458362612,3STAR
D_RES,2023,INDIA,ER,WB,RURAL,Q1,28622.565002575582,3STAR
D_RES,2024,INDIA,ER,WB,RURAL,Q1,26875.936434149047,3STAR
D_RES,2025,INDIA,ER,WB,RURAL,Q1,24663.96542230161,3STAR
D_RES,2026,INDIA,ER,WB,RURAL,Q1,21969.761306633976,3STAR
D_RES,2027,INDIA,ER,WB,RURAL,Q1,18751.634616503372,3STAR
D_RES,2028,INDIA,ER,WB,RURAL,Q1,14992.505072339482,3STAR
D_RES,2029,INDIA,ER,WB,RURAL,Q1,10646.174786354522,3STAR
D_RES,2030,INDIA,ER,WB,RURAL,Q1,5664.963421457963,3STAR
D_RES,2031,INDIA,ER,WB,RURAL,Q1,0.0,3STAR
D_RES,2021,INDIA,NER,AS,RURAL,Q1,20514.6265590802,3STAR
D_RES,2022,INDIA,NER,AS,RURAL,Q1,21782.78487874763,3STAR
D_RES,2023,INDIA,NER,AS,RURAL,Q1,21923.226640992707,3STAR
D_RES,2024,INDIA,NER,AS,RURAL,Q1,21655.65606700015,3STAR
D_RES,2025,INDIA,NER,AS,RURAL,Q1,20889.28640110304,3STAR
D_RES,2026,INDIA,NER,AS,RURAL,Q1,19545.095611011602,3STAR
D_RES,2027,INDIA,NER,AS,RURAL,Q1,17509.138855565267,3STAR
D_RES,2028,INDIA,NER,AS,RURAL,Q1,14684.423019531954,3STAR
D_RES,2029,INDIA,NER,AS,RURAL,Q1,10930.761368675268,3STAR
D_RES,2030,INDIA,NER,AS,RURAL,Q1,6092.803171135747,3STAR
D_RES,2031,INDIA,NER,AS,RURAL,Q1,0.0,3STAR
D_RES,2021,INDIA,NER,NE,RURAL,Q1,9720.51654807972,3STAR
D_RES,2022,INDIA,NER,NE,RURAL,Q1,9584.676936572356,3STAR
D_RES,2023,INDIA,NER,NE,RURAL,Q1,9124.709900976512,3STAR
D_RES,2024,INDIA,NER,NE,RURAL,Q1,8542.625966269243,3STAR
D_RES,2025,INDIA,NER,NE,RURAL,Q1,7825.96733001407,3STAR
D_RES,2026,INDIA,NER,NE,RURAL,Q1,6966.010334862843,3STAR
D_RES,2027,INDIA,NER,NE,RURAL,Q1,5947.691279454473,3STAR
D_RES,2028,INDIA,NER,NE,RURAL,Q1,4760.482509993852,3STAR
D_RES,2029,INDIA,NER,NE,RURAL,Q1,3386.4904606798527,3STAR
D_RES,2030,INDIA,NER,NE,RURAL,Q1,1806.5057259506168,3STAR
D_RES,2031,INDIA,NER,NE,RURAL,Q1,0.0,3STAR
D_RES,2021,INDIA,NR,DL,RURAL,Q1,1709.9701603928484,3STAR
D_RES,2022,INDIA,NR,DL,RURAL,Q1,1689.0831692836352,3STAR
D_RES,2023,INDIA,NR,DL,RURAL,Q1,1602.8884668371643,3STAR
D_RES,2024,INDIA,NR,DL,RURAL,Q1,1490.1134429807416,3STAR
D_RES,2025,INDIA,NR,DL,RURAL,Q1,1350.3176131094103,3STAR
D_RES,2026,INDIA,NR,DL,RURAL,Q1,1184.27353961216,3STAR
D_RES,2027,INDIA,NR,DL,RURAL,Q1,992.3781910541538,3STAR
D_RES,2028,INDIA,NR,DL,RURAL,Q1,776.3547547838903,3STAR
D_RES,2029,INDIA,NR,DL,RURAL,Q1,537.5453794621391,3STAR
D_RES,2030,INDIA,NR,DL,RURAL,Q1,277.89810977332814,3STAR
D_RES,2031,INDIA,NR,DL,RURAL,Q1,0.0,3STAR
D_RES,2021,INDIA,NR,HP,RURAL,Q1,29717.283436407288,3STAR
D_RES,2022,INDIA,NR,HP,RURAL,Q1,29278.33397646034,3STAR
D_RES,2023,INDIA,NR,HP,RURAL,Q1,27836.398965920092,3STAR
D_RES,2024,INDIA,NR,HP,RURAL,Q1,25985.32849810462,3STAR
D_RES,2025,INDIA,NR,HP,RURAL,Q1,23700.656298825732,3STAR
D_RES,2026,INDIA,NR,HP,RURAL,Q1,20971.52368606967,3STAR
D_RES,2027,INDIA,NR,HP,RURAL,Q1,17773.972931647884,3STAR
D_RES,2028,INDIA,NR,HP,RURAL,Q1,14099.633981339022,3STAR
D_RES,2029,INDIA,NR,HP,RURAL,Q1,9925.811743618724,3STAR
D_RES,2030,INDIA,NR,HP,RURAL,Q1,5231.957089693807,3STAR
D_RES,2031,INDIA,NR,HP,RURAL,Q1,0.0,3STAR
D_RES,2021,INDIA,NR,HR,RURAL,Q1,90777.69024630592,3STAR
D_RES,2022,INDIA,NR,HR,RURAL,Q1,90773.375685602,3STAR
D_RES,2023,INDIA,NR,HR,RURAL,Q1,87527.53048306688,3STAR
D_RES,2024,INDIA,NR,HR,RURAL,Q1,82778.10857052455,3STAR
D_RES,2025,INDIA,NR,HR,RURAL,Q1,76411.0883815898,3STAR
D_RES,2026,INDIA,NR,HR,RURAL,Q1,68358.20922151943,3STAR
D_RES,2027,INDIA,NR,HR,RURAL,Q1,58517.88789301163,3STAR
D_RES,2028,INDIA,NR,HR,RURAL,Q1,46840.49364929614,3STAR
D_RES,2029,INDIA,NR,HR,RURAL,Q1,33240.62805687177,3STAR
D_RES,2030,INDIA,NR,HR,RURAL,Q1,17646.33995010383,3STAR
D_RES,2031,INDIA,NR,HR,RURAL,Q1,0.0,3STAR
D_RES,2021,INDIA,NR,JK,RURAL,Q1,19545.71399211907,3STAR
D_RES,2022,INDIA,NR,JK,RURAL,Q1,19539.25317882061,3STAR
D_RES,2023,INDIA,NR,JK,RURAL,Q1,18687.96374147012,3STAR
D_RES,2024,INDIA,NR,JK,RURAL,Q1,17551.59686965185,3STAR
D_RES,2025,INDIA,NR,JK,RURAL,Q1,16107.214881227515,3STAR
D_RES,2026,INDIA,NR,JK,RURAL,Q1,14344.377271097035,3STAR
D_RES,2027,INDIA,NR,JK,RURAL,Q1,12237.978255521393,3STAR
D_RES,2028,INDIA,NR,JK,RURAL,Q1,9777.672866054292,3STAR
D_RES,2029,INDIA,NR,JK,RURAL,Q1,6936.233075679954,3STAR
D_RES,2030,INDIA,NR,JK,RURAL,Q1,3686.1797574850775,3STAR
D_RES,2031,INDIA,NR,JK,RURAL,Q1,0.0,3STAR
D_RES,2021,INDIA,NR,PB,RURAL,Q1,147720.32579773656,3STAR
D_RES,2022,INDIA,NR,PB,RURAL,Q1,142429.02325083673,3STAR
D_RES,2023,INDIA,NR,PB,RURAL,Q1,132391.4927502956,3STAR
D_RES,2024,INDIA,NR,PB,RURAL,Q1,120642.82841124032,3STAR
D_RES,2025,INDIA,NR,PB,RURAL,Q1,107267.96309306688,3STAR
D_RES,2026,INDIA,NR,PB,RURAL,Q1,92410.27043131903,3STAR
D_RES,2027,INDIA,NR,PB,RURAL,Q1,76167.07509220084,3STAR
D_RES,2028,INDIA,NR,PB,RURAL,Q1,58691.70434262636,3STAR
D_RES,2029,INDIA,NR,PB,RURAL,Q1,40090.974529815496,3STAR
D_RES,2030,INDIA,NR,PB,RURAL,Q1,20483.885263603814,3STAR
D_RES,2031,INDIA,NR,PB,RURAL,Q1,0.0,3STAR
D_RES,2021,INDIA,NR,RJ,RURAL,Q1,71506.18990626976,3STAR
D_RES,2022,INDIA,NR,RJ,RURAL,Q1,72230.8576404303,3STAR
D_RES,2023,INDIA,NR,RJ,RURAL,Q1,70139.19436847199,3STAR
D_RES,2024,INDIA,NR,RJ,RURAL,Q1,66921.31587644541,3STAR
