EnergyStorTech,Year,ModelGeography,SubGeography1,MaxStorCapacity
FOURHR_BATTERY,2021,INDIA,ER,0.0
FOURHR_BATTERY,2021,INDIA,NER,0.0
FOURHR_BATTERY,2021,INDIA,NR,0.0
FOURHR_BATTERY,2021,INDIA,SR,0.0
FOURHR_BATTERY,2021,INDIA,WR,0.0
FOURHR_BATTERY,2022,INDIA,ER,0.0
FOURHR_BATTERY,2022,INDIA,NER,0.0
FOURHR_BATTERY,2022,INDIA,NR,0.0
FOURHR_BATTERY,2022,INDIA,SR,0.0
FOURHR_BATTERY,2022,INDIA,WR,0.0
FOURHR_BATTERY,2023,INDIA,ER,0.0
FOURHR_BATTERY,2023,INDIA,NER,0.0
FOURHR_BATTERY,2023,INDIA,NR,0.0
FOURHR_BATTERY,2023,INDIA,SR,0.0
FOURHR_BATTERY,2023,INDIA,WR,0.0
FOURHR_BATTERY,2024,INDIA,ER,0.008115238
FOURHR_BATTERY,2024,INDIA,NER,0.000740954
FOURHR_BATTERY,2024,INDIA,NR,0.09204758
FOURHR_BATTERY,2024,INDIA,SR,0.214552933
FOURHR_BATTERY,2024,INDIA,WR,0.0845432954
FOURHR_BATTERY,2025,INDIA,ER,0.016177248999999998
FOURHR_BATTERY,2025,INDIA,NER,0.001477046
FOURHR_BATTERY,2025,INDIA,NR,0.183491432
FOURHR_BATTERY,2025,INDIA,SR,0.427698634
FOURHR_BATTERY,2025,INDIA,WR,0.168532079
FOURHR_BATTERY,2026,INDIA,ER,0.032248395
FOURHR_BATTERY,2026,INDIA,NER,0.0029444049999999998
FOURHR_BATTERY,2026,INDIA,NR,0.365779364
FOURHR_BATTERY,2026,INDIA,SR,0.852592037
FOURHR_BATTERY,2026,INDIA,WR,0.33595877199999996
FOURHR_BATTERY,2027,INDIA,ER,0.064285274
FOURHR_BATTERY,2027,INDIA,NER,0.005869498
FOURHR_BATTERY,2027,INDIA,NR,0.7291596199999999
FOURHR_BATTERY,2027,INDIA,SR,1.699592009
FOURHR_BATTERY,2027,INDIA,WR,0.669714026
FOURHR_BATTERY,2028,INDIA,ER,0.128148909
FOURHR_BATTERY,2028,INDIA,NER,0.011700497
FOURHR_BATTERY,2028,INDIA,NR,1.453536756
FOURHR_BATTERY,2028,INDIA,SR,3.388036565
FOURHR_BATTERY,2028,INDIA,WR,1.335035466
FOURHR_BATTERY,2029,INDIA,ER,0.255457302
FOURHR_BATTERY,2029,INDIA,NER,0.023324250999999997
FOURHR_BATTERY,2029,INDIA,NR,2.897539913
FOURHR_BATTERY,2029,INDIA,SR,6.753851345
FOURHR_BATTERY,2029,INDIA,WR,2.6613145709999997
FOURHR_BATTERY,2030,INDIA,ER,0.5092390849999999
FOURHR_BATTERY,2030,INDIA,NER,0.046495522
FOURHR_BATTERY,2030,INDIA,NR,5.7760751610000005
FOURHR_BATTERY,2030,INDIA,SR,13.463404871
FOURHR_BATTERY,2030,INDIA,WR,5.305173851
FOURHR_BATTERY,2031,INDIA,ER,1.015138124
FOURHR_BATTERY,2031,INDIA,NER,0.092686084
FOURHR_BATTERY,2031,INDIA,NR,11.514265632999999
FOURHR_BATTERY,2031,INDIA,SR,26.838504645000004
FOURHR_BATTERY,2031,INDIA,WR,10.575551611
