EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,PECCostInBT_BA
COKING_COAL,2021,,,,INDIA,ER,491375.1468489418
COKING_COAL,2021,,,,INDIA,WR,32421.90935911106
COKING_COAL,2021,,,,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,10526.570285156697
COKING_COAL,2021,,,,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,530879.6144396269
COKING_COAL,2022,,,,INDIA,WR,35509.445653211355
COKING_COAL,2022,,,,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,11519.685510116216
COKING_COAL,2022,,,,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,558854.9327764732
COKING_COAL,2023,,,,INDIA,WR,37901.09509036651
COKING_COAL,2023,,,,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,SR,12283.524631129061
COKING_COAL,2023,,,,INDIA,NER,0.0
COKING_COAL,2024,,,,INDIA,ER,586725.5969345386
COKING_COAL,2024,,,,INDIA,WR,40350.92314361018
COKING_COAL,2024,,,,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,SR,13063.0839045215
COKING_COAL,2024,,,,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,ER,616240.7532231509
COKING_COAL,2025,,,,INDIA,WR,42979.87361340723
COKING_COAL,2025,,,,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,SR,13897.596251054785
COKING_COAL,2025,,,,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,ER,645705.4115132734
COKING_COAL,2026,,,,INDIA,WR,45678.053496722736
COKING_COAL,2026,,,,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,SR,14750.617060657705
COKING_COAL,2026,,,,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,ER,675906.7473593354
COKING_COAL,2027,,,,INDIA,WR,48502.68445610389
COKING_COAL,2027,,,,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,SR,15640.448575491217
COKING_COAL,2027,,,,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,ER,707476.4330323088
COKING_COAL,2028,,,,INDIA,WR,51504.232106896074
COKING_COAL,2028,,,,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,SR,16582.9114252411
COKING_COAL,2028,,,,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,ER,740474.0455863388
COKING_COAL,2029,,,,INDIA,WR,54693.91794638285
COKING_COAL,2029,,,,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,SR,17581.045046969404
COKING_COAL,2029,,,,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,ER,774961.6245913093
COKING_COAL,2030,,,,INDIA,WR,58083.68207013687
COKING_COAL,2030,,,,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,SR,18638.059313132388
COKING_COAL,2030,,,,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,ER,811003.7681357483
COKING_COAL,2031,,,,INDIA,WR,61686.22930709816
COKING_COAL,2031,,,,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,SR,19757.343744767873
COKING_COAL,2031,,,,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,ER,800759.9880907306
STEAM_COAL,2021,,,,INDIA,WR,1053009.87404475
STEAM_COAL,2021,,,,INDIA,NR,422203.64422195184
STEAM_COAL,2021,,,,INDIA,SR,867936.0094005538
STEAM_COAL,2021,,,,INDIA,NER,13607.0181917962
STEAM_COAL,2022,,,,INDIA,ER,843229.5553993528
STEAM_COAL,2022,,,,INDIA,WR,1109256.375634659
STEAM_COAL,2022,,,,INDIA,NR,405502.51539398544
STEAM_COAL,2022,,,,INDIA,SR,948001.9574463575
STEAM_COAL,2022,,,,INDIA,NER,13276.725783711185
STEAM_COAL,2023,,,,INDIA,ER,902984.1816537835
STEAM_COAL,2023,,,,INDIA,WR,1168507.9641515405
STEAM_COAL,2023,,,,INDIA,NR,321734.30504950765
STEAM_COAL,2023,,,,INDIA,SR,852645.5913885664
STEAM_COAL,2023,,,,INDIA,NER,8427.40859079796
STEAM_COAL,2024,,,,INDIA,ER,941902.5150693345
STEAM_COAL,2024,,,,INDIA,WR,1230984.9841065693
STEAM_COAL,2024,,,,INDIA,NR,265872.0158239508
STEAM_COAL,2024,,,,INDIA,SR,797393.632665446
STEAM_COAL,2024,,,,INDIA,NER,7158.86010988509
STEAM_COAL,2025,,,,INDIA,ER,970877.1073116051
STEAM_COAL,2025,,,,INDIA,WR,1252735.320590629
STEAM_COAL,2025,,,,INDIA,NR,193026.25068691294
STEAM_COAL,2025,,,,INDIA,SR,793677.948046756
STEAM_COAL,2025,,,,INDIA,NER,6612.130227730087
STEAM_COAL,2026,,,,INDIA,ER,967319.141664422
STEAM_COAL,2026,,,,INDIA,WR,1244195.5916665802
STEAM_COAL,2026,,,,INDIA,NR,201454.61954375452
STEAM_COAL,2026,,,,INDIA,SR,766184.4194593646
STEAM_COAL,2026,,,,INDIA,NER,3802.1863584427765
STEAM_COAL,2027,,,,INDIA,ER,939105.0640973459
STEAM_COAL,2027,,,,INDIA,WR,1244712.9194841792
STEAM_COAL,2027,,,,INDIA,NR,237428.6028849994
STEAM_COAL,2027,,,,INDIA,SR,722097.8599631009
STEAM_COAL,2027,,,,INDIA,NER,4206.41029407348
STEAM_COAL,2028,,,,INDIA,ER,912957.5285387641
STEAM_COAL,2028,,,,INDIA,WR,1255902.0297565693
STEAM_COAL,2028,,,,INDIA,NR,266186.5532088139
STEAM_COAL,2028,,,,INDIA,SR,705846.3318176982
STEAM_COAL,2028,,,,INDIA,NER,4830.664037952251
STEAM_COAL,2029,,,,INDIA,ER,899795.1072912804
STEAM_COAL,2029,,,,INDIA,WR,1278592.9806755318
STEAM_COAL,2029,,,,INDIA,NR,312093.358060917
STEAM_COAL,2029,,,,INDIA,SR,688288.8482775206
STEAM_COAL,2029,,,,INDIA,NER,6009.398117350265
STEAM_COAL,2030,,,,INDIA,ER,914220.3290143667
STEAM_COAL,2030,,,,INDIA,WR,1271647.2386464153
STEAM_COAL,2030,,,,INDIA,NR,342805.38010351604
STEAM_COAL,2030,,,,INDIA,SR,696106.5461628181
STEAM_COAL,2030,,,,INDIA,NER,6131.030244250661
STEAM_COAL,2031,,,,INDIA,ER,933040.223304727
STEAM_COAL,2031,,,,INDIA,WR,1322416.3207764404
STEAM_COAL,2031,,,,INDIA,NR,386255.17890767875
STEAM_COAL,2031,,,,INDIA,SR,714008.6159464085
STEAM_COAL,2031,,,,INDIA,NER,7669.854629910587
NATGAS,2021,,,,INDIA,,425459.0843917991
NATGAS,2022,,,,INDIA,,479073.7734462013
NATGAS,2023,,,,INDIA,,522298.2598979154
NATGAS,2024,,,,INDIA,,568887.9915179835
NATGAS,2025,,,,INDIA,,618559.0177575768
NATGAS,2026,,,,INDIA,,671526.044350904
NATGAS,2027,,,,INDIA,,748654.8774380509
NATGAS,2028,,,,INDIA,,792465.1432166001
NATGAS,2029,,,,INDIA,,898866.7494702169
NATGAS,2030,,,,INDIA,,973677.440777746
NATGAS,2031,,,,INDIA,,1031179.3119077286
BIOGAS,2021,,,,INDIA,,17335.760999560407
