EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy,TotalEnergyDemand
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,60.28716558519373,3677.5171006968176
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,143.7575511633245,8769.210620962795
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,129.2935198625846,7886.90471161766
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,127.71944603902702,7790.886208380648
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,3.5962673396517704,219.37230771875798
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,70.2340631683356,4284.2778532684715
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,166.32245945309032,10145.670026638509
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NR,154.70572927665697,9437.049485876076
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,147.70985224130712,9010.300986719734
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,5.100667183820402,311.1406982130445
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,ER,71.43429606001986,4357.492059661212
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,WR,162.66309473599097,9922.448778895448
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NR,160.7803605939206,9807.601996229156
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,SR,143.45890335339382,8750.993104557023
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NER,6.230707280073801,380.0731440845019
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,70.26460452788788,4286.140876201161
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,152.8207224949539,9322.064072192188
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,151.9026096903641,9266.05919111221
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,131.88471904564025,8044.9678617840555
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,5.637589354147886,343.89295060302106
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,110.32248567693564,6729.671626293074
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,205.30393577225226,12523.540082107387
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,248.08000596609443,15132.880363931761
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,183.77478367812864,11210.261804365848
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,10.23658660929497,624.4317831669932
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,145.51062229572366,8876.147960039143
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,326.3915872339545,19909.886821271226
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,316.8507585404525,19327.8962709676
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,291.5341771209099,17783.584804375503
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,8.31021368854012,506.9230350009473
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,66.16396251947457,6087.0845517916605
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,113.36834734516938,10429.887955755583
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,114.8296619670176,10564.32890096562
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,97.75081713216605,8993.075176159276
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NER,5.199288735049611,478.33456362456417
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,ER,69.17112838547229,6363.743811463451
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,WR,131.1141649895604,12062.503179039557
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NR,124.42308661082971,11446.923968196334
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,SR,112.56897505225865,10356.345704807796
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NER,5.576219627258338,513.0122057077671
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,ER,70.90225111270121,6523.007102368511
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,WR,137.61174132852392,12660.280202224201
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NR,135.67791345682593,12482.368038027986
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,SR,119.6691820886654,11009.564752157215
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NER,6.731225002914228,619.272700268109
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,70.42420464948866,6479.026827752957
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,134.6992382113938,12392.32991544823
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,NR,134.45047782287298,12369.443959704315
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,115.71962251219938,10646.205271122342
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,6.393409345124213,588.1936597514276
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,ER,108.39698848867145,9972.522940957773
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,WR,159.8225633154565,14703.675825022
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,NR,207.09524379372775,19052.762429022954
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,SR,144.8884699736983,13329.739237580245
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,NER,11.60406634970878,1067.5741041732078
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,ER,148.64856141119125,13675.667649829595
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,WR,216.20240173378818,19890.620959508513
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NR,246.3239249300221,22661.801093562033
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,SR,172.09901304157944,15833.109199825309
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NER,9.061131416548486,833.6240903224607
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,ER,52.31814695884338,3191.406964489446
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,WR,119.87366363991092,7312.293482034566
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NR,99.26951148462759,6055.440200562282
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,SR,104.24280647271183,6358.811194835422
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NER,3.287430683530919,200.53327169538605
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,ER,67.83416823507973,4137.884262339863
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,WR,151.87247409415318,9264.220919743344
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NR,130.46159452250924,7958.157265873064
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,SR,133.9629810447111,8171.741843727378
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NER,5.054527151286325,308.32615622846583
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,ER,71.25111525052954,4346.318030282302
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,WR,165.613245454733,10102.407972738712
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NR,152.24266982738447,9286.802859470454
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,SR,148.5440870211505,9061.18930829018
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NER,6.361814423936254,388.0706798601115
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,69.57723182832612,4244.211141527893
